n,scenario,label,hash,block,gas_used,effective_gas_price_wei,cost_eth,latency_ms,status,revert_reason
1,S1,"proposeAddCategory",0x33e84e6c19bafabf6e1705730d888b422d559b3040280bd1fbec7936f5deeb9b,11761431,666054,932382684,0.000621017216208936,7319,1,""
2,S1,"vote FOR, voter 1",0xb3b06be607bfc1ab727facb319fbb7327dbb436f48d3d44371b157d08c2553e1,11761434,83384,1108028662,0.000092391861952208,11301,1,""
3,S1,"vote FOR, voter 2",0x45aac11dc4b080995bd122b7ecaa09bd64e01356921f58958e9bd91847786523,11761435,66284,1039075403,0.000068874074012452,12090,1,""
4,S1,"vote FOR, voter 3",0xb0ba34998e54a7f83be98238dd8fe20b98b9c88c7ba29f9925b40b4ee10adf7c,11761437,66284,1085884732,0.000071976783575888,35918,1,""
5,S1,"vote AGAINST, voter 4",0x29e3b41ac5d00c744ab4d78f167d8f075002e0d610529df7bfc8081951032894,11761438,83343,1024919056,0.000085419828884208,12756,1,""
6,S1,"repeated vote, voter 1 (expect revert)",0xd83c9a60c5caab941bdb8da8434c7d324f3cb21fa0cd7a3c8995983942018165,11761440,38224,1061218323,0.000040564009178352,24365,0,"execution reverted"
7,S1,"execute proposal",0x6890c7dbbe4a1eaf7b65bb97a65a72466d4e8113c00e5cf1f467bd6fe655920c,11761494,398089,1114114097,0.000443516566760633,9889,1,""
8,S6,"deployer direct updateCredits (expect revert)",0x0a9976db73415eedd1bbba5bd1b2a248d9a0a9a7a1ddfdf10170ab8c2b7263d7,11761495,23769,1218781249,0.000028969211507481,11363,0,"execution reverted"
9,S6,"deployer re-grants self ADMIN_ROLE (expect revert)",0xac8ba1c19cc169a7dbea0bbceee236bb4d24dfdd07d8e00254f9f9cc3bc13322,11761496,26338,1121115301,0.000029527934797738,12665,0,"execution reverted"
10,S2,"proposeAddCategory",0x787ceb2e454a7fa90caa536ae76e1b046ae8cbf79e580486c60aae505bbc1bd6,11761497,666150,1039686700,0.000692587295205,12247,1,""
11,S2,"vote FOR, voter 1",0x642417274e8d81b85a8e32c7d1bd8f9490cf184d4014c5e714cb7d855290a0dd,11761500,83384,1032004132,0.000086052632542688,11288,1,""
12,S2,"vote AGAINST, voter 2",0xdc26aa0ec33b5a568167faab3a00d1034a6617c000dbbf8f1f13c0f2301b4678,11761501,83343,1005694724,0.000083817615382332,12261,1,""
13,S2,"vote AGAINST, voter 3",0x6efbfa5aeee0a2b88b47ad1375b36085bb3206293b8bb6da45c6ad62381d127e,11761503,66243,1059931897,0.000070213068652971,23462,1,""
14,S2,"vote AGAINST, voter 4",0x2f83216810be2181a6173779f277e0e236d9e74bd2e142ac7f75cce0b5283243,11761504,66243,1028199693,0.000068111032263399,12333,1,""
15,S2,"execute the defeated proposal (expect revert)",0x1fa4b304f706185f07551f7c5d4b656b30ba1a7fd143fe0fe6d5920aa1bbc426,11761560,55463,1038336102,0.000057589235225226,20920,0,"execution reverted"
16,S3,"proposeAddCategory",0x71b195f8202c8c5056ddd1eb5183145e92bd5154925f314392ad069e83f9a516,11761561,643273,1123305381,0.000722592022352013,12249,1,""
17,S3,"vote FOR, single small holder",0xc9d9dd8179b5fbc7d9029a94eac36daea7bed1ed0d91c09a79b094821a734cb2,11761565,83384,1103848255,0.00009204328289492,17450,1,""
18,S4,"proposeAddCategory",0x236e862ff712f5db578021964741c6591fbba84495bf83222ecdea20460aedbc,11761624,643225,1277212143,0.000821534780681175,7650,1,""
19,S4,"transfer 20,000 DAOG to attacker (post-snapshot)",0x77b9884a165d93f9aaeac4e5d72d602d8527724ee64aa35ad98a793963597fec,11761627,89026,1117654497,0.000099500309249922,13166,1,""
20,S4,"attacker self-delegates (post-snapshot)",0xb66498be0184f33f8971a64ab34d2f614f8ad8c7e00e9a6f3c6d824611af40ac,11761628,95691,1022760243,0.000097868950412913,11624,1,""
21,S4,"attacker votes FOR with post-snapshot tokens",0xe59202f55a92da2e7d5c440ef019d4bea8a7c5aaf08f6b2b27146b30a8e04c28,11761629,63184,973714611,0.000061523183981424,12252,1,""
22,S4,"vote AGAINST, honest voter 1",0xa6321ab1469f75d672e265e3aa4f1c676db2d28b43f6e88dd8396d96bf1e1b36,11761630,83343,1060962657,0.000088423810722351,10478,1,""
23,S5,"proposeAddCategory",0xc3517172f00b773d0aa7ee30c4f3ebcf65f1e81661b518f808aa1956c7f8b3ec,11761687,666030,1097785148,0.00073115784212244,5491,1,""
24,S5,"vote FOR, voter 1",0xfa6b1b54b023be02d1991957ec0fef39a9714f00a5fc4b0f0374b19973f1f500,11761690,83384,991924108,0.000082710599821472,12545,1,""
25,S5,"vote FOR, voter 2",0xbfe981d9830fa416a0a1c343764d0239a1f6e46e777bea26487f8db28700308b,11761691,66284,1115747759,0.000073956224457556,11693,1,""
26,S5,"vote FOR, voter 3",0x083470e56023a838c8d69612332787d5c33e21cf88209fd64b32e3bea8bcf02d,11761692,66284,1074370399,0.000071213567527316,12227,1,""
27,S5,"vote AGAINST, deployer",0x58ca7907409481098dccf8186386b0160142dbd177706b7052f0254c6065b5f5,11761693,86534,1014376508,0.000087778056743272,11148,1,""
