execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,gas,status,motivo_reversao
2026-09-23T18-15-10-058Z_b1-b4,V0,T1,,,,,deploy_token_T1,,,1621017,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,,,,deploy_registry,,,4590964,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,,,,deploy_governor_V0,,,2133394,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,,,,grant_admin_role,,,50799,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,,,,revoke_deployer_admin_role,,,27116,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,95559,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,48335,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B1,,,propose,,,64679,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B1,,,transfer_post_snapshot,,,135972,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B1,,,delegate_post_snapshot,,,28424,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B1,,,vote,1,for,81899,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B2,,,transfer,,,135948,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B2,,,propose,,,64667,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B2,,,vote,1,for,81887,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B2,,,execute,,,60795,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,transfer,,,135972,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,propose,,,64691,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,vote,1,for,81899,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,vote,2,for,64799,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,vote,3,for,64799,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B3,,,vote,1,against,81847,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B4,,,transfer,,,131160,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B4,,,propose,,,64679,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B4,,,vote,1,for,81899,1,
2026-09-23T18-15-10-058Z_b1-b4,V0,,,B4,,,vote_repeat,2,for,36828,0,invalid length for result data
2026-09-23T18-15-10-058Z_b1-b4,V1,T1,,,,,deploy_token_T1,,,1621017,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,,,,deploy_registry,,,4590964,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,,,,deploy_governor_V1,,,2141155,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,,,,grant_admin_role,,,50799,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,,,,revoke_deployer_admin_role,,,27116,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,95559,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,48335,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B1,,,propose,,,64667,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B1,,,transfer_post_snapshot,,,135972,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B1,,,delegate_post_snapshot,,,28424,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B1,,,vote,1,for,62268,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B2,,,transfer,,,135948,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B2,,,propose,,,64655,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B2,,,vote,1,for,82468,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B2,,,execute,,,60795,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,transfer,,,135972,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,propose,,,64679,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,vote,1,for,82468,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,vote,2,for,65368,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,vote,3,for,65368,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B3,,,vote,1,against,82416,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B4,,,transfer,,,131160,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B4,,,propose,,,64679,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B4,,,vote,1,for,82468,1,
2026-09-23T18-15-10-058Z_b1-b4,V1,,,B4,,,vote_repeat,2,for,37400,0,invalid length for result data
2026-09-23T18-15-10-058Z_b1-b4,V2,T1,,,,,deploy_token_T1,,,1621017,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,,,,deploy_registry,,,4590964,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,,,,deploy_governor_V2,,,2178840,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,,,,grant_admin_role,,,50799,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,,,,revoke_deployer_admin_role,,,27116,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,95559,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,48335,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,setup,,,delegate,,,48347,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B1,,,propose,,,64655,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B1,,,transfer_post_snapshot,,,135972,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B1,,,delegate_post_snapshot,,,28424,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B1,,,vote,1,for,62268,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B2,,,transfer,,,135948,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B2,,,propose,,,64667,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B2,,,vote,1,for,82468,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B2,,,execute_attempt,,,38102,0,invalid length for result data
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B3,,,transfer,,,135960,1,
2026-09-23T18-15-10-058Z_b1-b4,V2,,,B3,,,transfer,,,135960,1,
