execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T21-54-48-701Z_token-comparison,T0,T0,,,,,deploy,,,,,,493337,1,,0xfe59821c7e707e506f58ede2dca4f9b3fbd0e04e597105202a4a51b7dddb3187
2026-09-23T21-54-48-701Z_token-comparison,T0,T0,,,,,transfer_first,1,,,0xa9059cbb,,51252,1,,0xf600db8887ce5d274b4b07a95269fbfd94507996a915c4bba875fafdf8558ec4
2026-09-23T21-54-48-701Z_token-comparison,T0,T0,,,,,transfer_subsequent,2,,,0xa9059cbb,,34152,1,,0xc8466184ada1813ba3621c28f32c28fe95b972e2cec72e0ba0deb71116fc9d37
2026-09-23T21-54-48-701Z_token-comparison,T1-undelegated,T1,,,,,deploy,,,,,,1621017,1,,0x540dcbcf69cd18c51fda67e7cf0a91bcd2bd71d3b2fe4cb0ac3eb5d6f18af578
2026-09-23T21-54-48-701Z_token-comparison,T1-undelegated,T1,,,,,transfer_first,1,,,0xa9059cbb,,56171,1,,0x6113e53db2cfa75e3ffe092bc7addc01ba6f58389f43fdabb473f4df7a184ef4
2026-09-23T21-54-48-701Z_token-comparison,T1-undelegated,T1,,,,,transfer_subsequent,2,,,0xa9059cbb,,39071,1,,0x9d6aca555eb569d284834f1709c18e9a2c3a7d2db9f005fefca6532c7ad72f9a
2026-09-23T21-54-48-701Z_token-comparison,T1-delegated,T1,,,,,deploy,,,,,,1621017,1,,0x8339e57b55214a5ff631d6e1d52757689709d7fe3014eaf8f18c18f2f0cbd36b
2026-09-23T21-54-48-701Z_token-comparison,T1-delegated,T1,,,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xf58c4d9b2e9309739ccc7bd55e02dd215a19d674791230902d4558e5f27d791d
2026-09-23T21-54-48-701Z_token-comparison,T1-delegated,T1,,,,,delegate_recipient_at_zero_balance,,,,0x5c19a95c,,48347,1,,0xae188a2f1c65e7861d63229ef73dac92ff12f09d6fe602d2040bff76e777da88
2026-09-23T21-54-48-701Z_token-comparison,T1-delegated,T1,,,,,transfer_first,1,,,0xa9059cbb,,135960,1,,0x10a1c37e40748d58ea26e3e291898673619df091aed4a3a5259c71f788e59ec4
2026-09-23T21-54-48-701Z_token-comparison,T1-delegated,T1,,,,,transfer_subsequent,2,,,0xa9059cbb,,104267,1,,0xdfe9e25316eaa27b794dfc4401a8394332adb6b106721897cf5ac79ccb7f09d4
2026-09-23T21-54-48-701Z_token-comparison,T1-delegated,T1,,,,,transfer_to_d,,,,0xa9059cbb,,88813,1,,0x62984f27fb565a2e1021fdd7572cb6464c89a1cf2087090d820a813e996ccc14
2026-09-23T21-54-48-701Z_token-comparison,T1-delegated,T1,,,,,delegate_from_funded_balance,,,,0x5c19a95c,,95559,1,,0x4912d83b753b6bc41157af0dfc430defcdeeda30149909df739f4e988ffc7fab
