execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T22-00-43-844Z_b1-b4,V0,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,deploy_governor_V0,,,constructor,0x6101c080,,2133394,1,,0xf15d79595721aab9f7f3ac0a2a1e63b67929396c1b2cc0d9de1364b502afb839
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xb518a3911be32f0a59dcaec3e43c7ec54010f07f3e473d550516b1aab1a18d6b
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0x8cb08b8b6ca45600b76a431b4cd18aee2095374e00c890903bfaa28d83b5f82b
2026-09-23T22-00-43-844Z_b1-b4,V0,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xfa43c1f7a1a1658c8aeac58119b26e806face10fc63ae3e18099942309f4d395
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B1,,,delegate,,,,0x5c19a95c,,48347,1,,0xf96ae171d39b1290c248e3ee88c92c43e24751ff4aacf46bad404cad29a33e37
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B1,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0x25c73568f2572dcce3a60b751368b5f85e78411e8b51bc43cc04c650bebdb8b1
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B1,,,transfer_post_snapshot,,,,0xa9059cbb,,135972,1,,0x33cc395459b8064b8707e8a56802434fe7e163648b8108594ee662d59f30463e
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B1,,,delegate_post_snapshot,,,,0x5c19a95c,,28424,1,,0x32928bb4a58159bc8f14679c5b790c10c4111cda90eec060ed55cbc8ac12243a
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B1,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,81899,1,,0xf8794e6e3873d85b722a7329e8391324d489d88fb905fa5a868619841477d05d
2026-09-23T22-00-43-844Z_b1-b4,V0,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
