execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T22-10-36-390Z_checkpoint-history,V1,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,,,,deploy_governor_V1,,,constructor,0x6101c080,,2141155,1,,0xe78fdee398cee13d5902695984b018a65d45bf0fbb03613be8e3d1a5fb0f5bf7
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xfdc9a3875129e16eb4a0e6527cfb2e5662449c13660398cf3b7c723db6d0e009
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xc189311656167d1c4c211ee1c4f5143a8df64ff72cb449ebf7ec77ff2fd0bcbb
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,5.2-P1,P1,1,delegate_admin,,,,0x5c19a95c,,95559,1,,0xd4695df7ceba86e36d8d32ccf756640823a0c1b729cf20e3a0b632c08e38ee6a
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,5.2-P1,P1,1,delegate_voter,,,,0x5c19a95c,,48347,1,,0x81d5bf8e96fad9ce8b5230dc73abbeb313b25fcb2932728690f357e6b4e905b9
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,5.2-P1,P1,1,transfer_history,1,,,0xa9059cbb,,135960,1,,0xe01fb086ec8d5ccdd199466999a6a1511c14b8dfc1a2cec9d7a746f64c367c4d
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,5.2-P1,P1,1,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63291,1,,0x0c6244e7ffeb372b6ad10babb1cc55d725663ee6cd06bcd98ea639abbf1795ef
2026-09-23T22-10-36-390Z_checkpoint-history,V1,,,5.2-P1,P1,1,vote_measured,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,82456,1,,0xa20737068836c0782764e06559ca916e533850ef0dd0a61f149b50d278f607a0
2026-09-23T22-10-36-390Z_checkpoint-history,V1,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
