execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash,segmento_rede
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0xece28f063ba256e8fc65152daf61fe745a7823e8ba387b1b661409f18f6dc4cc,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,,,,,deploy_governor_V0,,,constructor,0x6101c080,,2133394,1,,0x8b33a795df9df0e5a3cb812430955580d1fb4f654a6028dd161238e13d560524,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xb518a3911be32f0a59dcaec3e43c7ec54010f07f3e473d550516b1aab1a18d6b,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0x8cb08b8b6ca45600b76a431b4cd18aee2095374e00c890903bfaa28d83b5f82b,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,1,A-unanime,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xfa43c1f7a1a1658c8aeac58119b26e806face10fc63ae3e18099942309f4d395,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,1,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0xf96ae171d39b1290c248e3ee88c92c43e24751ff4aacf46bad404cad29a33e37,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,1,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x9e6fed2bbae08fedc0b25afd1aa26081230acfb932526f38c7c696787f0dd831,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,1,A-unanime,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63339,1,,0x8890e039672b3ab4f13c6656e7ab9249b5fb9dc1a2825416d2e12ce2abce5929,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,1,A-unanime,,,vote,1,for,,0x56781388,,81899,1,,0x0dce21c82a0c75e877efe12f3d35ab10d879b0fbf77820fe7ebca42c1ba3824a,1
2026-09-23T23-05-23-489Z_n-sweep_1-2-4-8-16-32-50,V0,,1,A-unanime,,,execute,,,execute,0x2656227d,WasteCategoryRegistry.updateCredits,60807,1,,0xeb2af5d100541150f9afe866aa4c92b5c57e70c3c3422a889a758d27bd6df051,1
